Weekly U.S. Product Supplied of Kerosene-Type Jet Fuel
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=pet&s=wkjupus2&f=w
09:14:29 GMT-0500 (Central Daylight Time)
Source: U.S. Energy Information Administration
Week of,Weekly U.S. Product Supplied of Kerosene-Type Jet Fuel Thousand Barrels per Day
02/25/2000,1346
02/18/2000,1541
02/11/2000,1678
02/4/2000,1624
01/28/2000,1634
01/21/2000,1399
01/14/2000,1839
01/7/2000,1523
12/31/1999,1642
12/24/1999,1724
12/17/1999,1526
12/10/1999,1679
12/3/1999,1869
11/26/1999,1510
11/19/1999,1695
11/12/1999,1718
11/5/1999,1702
10/29/1999,1775
10/22/1999,1703
10/15/1999,1755
10/8/1999,1784
10/1/1999,1686
09/24/1999,1533
09/17/1999,1542
09/10/1999,1608
09/3/1999,1718
08/27/1999,1618
08/20/1999,1621
08/13/1999,1656
08/6/1999,1640
07/30/1999,1762
07/23/1999,1754
07/16/1999,1649
07/9/1999,1515
07/2/1999,1372
06/25/1999,1612
06/18/1999,1912
06/11/1999,1542
06/4/1999,1523
05/28/1999,1705
05/21/1999,1676
05/14/1999,1465
05/7/1999,1692
04/30/1999,1418
04/23/1999,1542
04/16/1999,1685
04/9/1999,1704
04/2/1999,1691
03/26/1999,1592
03/19/1999,1701
03/12/1999,1570
03/5/1999,1820
02/26/1999,1843
02/19/1999,1497
02/12/1999,1628
02/5/1999,1826
01/29/1999,1452
01/22/1999,1768
01/15/1999,1646
01/8/1999,1554
01/1/1999,1684
12/25/1998,1842
12/18/1998,1665
12/11/1998,1819
12/4/1998,1308
11/27/1998,1602
11/20/1998,1387
11/13/1998,1889
11/6/1998,1475
10/30/1998,1569
10/23/1998,1446
10/16/1998,1554
10/9/1998,1491
10/2/1998,1644
09/25/1998,1703
09/18/1998,1573
09/11/1998,1359
09/4/1998,1458
08/28/1998,1524
08/21/1998,1714
08/14/1998,1342
08/7/1998,1619
07/31/1998,1669
07/24/1998,1559
07/17/1998,1613
07/10/1998,1264
07/3/1998,1720
06/26/1998,1649
06/19/1998,1871
06/12/1998,1481
06/5/1998,1643
05/29/1998,1350
05/22/1998,1441
05/15/1998,1687
05/8/1998,1511
05/1/1998,1543
04/24/1998,1404
04/17/1998,1611
04/10/1998,1507
04/3/1998,1611
03/27/1998,1450
03/20/1998,1451
03/13/1998,1595
03/6/1998,1605
02/27/1998,1484
02/20/1998,1625
02/13/1998,1724
02/6/1998,1716
01/30/1998,1477
01/23/1998,1666
01/16/1998,1503
01/9/1998,1626
01/2/1998,1673
12/26/1997,1790
12/19/1997,1759
12/12/1997,1598
12/5/1997,1628
11/28/1997,1774
11/21/1997,1877
11/14/1997,1507
11/7/1997,1530
10/31/1997,1676
10/24/1997,1736
10/17/1997,1406
10/10/1997,1477
10/3/1997,1625
09/26/1997,1449
09/19/1997,1787
09/12/1997,1673
09/5/1997,1440
08/29/1997,1881
08/22/1997,1629
08/15/1997,1583
08/8/1997,1630
08/1/1997,1881
07/25/1997,1579
07/18/1997,1658
07/11/1997,1317
07/4/1997,1738
06/27/1997,1737
06/20/1997,1708
06/13/1997,1591
06/6/1997,1421
05/30/1997,1593
05/23/1997,1667
05/16/1997,1509
05/9/1997,1455
05/2/1997,1511
04/25/1997,1578
04/18/1997,1590
04/11/1997,1450
04/4/1997,1566
03/28/1997,1522
03/21/1997,1475
03/14/1997,1419
03/7/1997,1722
02/28/1997,1638
02/21/1997,1572
02/14/1997,1482
02/7/1997,1618
01/31/1997,1866
01/24/1997,1527
01/17/1997,1689
01/10/1997,1520
01/3/1997,1685
12/27/1996,1872
12/20/1996,1714
12/13/1996,1601
12/6/1996,1705
11/29/1996,1505
11/22/1996,1560
11/15/1996,1684
11/8/1996,1727
11/1/1996,1694
10/25/1996,1691
10/18/1996,1627
10/11/1996,1584
10/4/1996,1741
09/27/1996,1606
09/20/1996,1541
09/13/1996,1786
09/6/1996,1466
08/30/1996,1761
08/23/1996,1488
08/16/1996,1736
08/9/1996,1452
08/2/1996,1682
07/26/1996,1459
07/19/1996,1600
07/12/1996,1479
07/5/1996,1474
06/28/1996,1466
06/21/1996,1559
06/14/1996,1550
06/7/1996,1327
05/31/1996,1575
05/24/1996,1462
05/17/1996,1559
05/10/1996,1374
05/3/1996,1313
04/26/1996,1420
04/19/1996,1453
04/12/1996,1509
04/5/1996,1586
03/29/1996,1515
03/22/1996,1654
03/15/1996,1550
03/8/1996,1562
03/1/1996,1761
02/23/1996,1524
02/16/1996,1750
02/9/1996,1555
02/2/1996,1695
01/26/1996,1772
01/19/1996,1633
01/12/1996,1578
01/5/1996,1894
12/29/1995,1620
12/22/1995,1638
12/15/1995,1492
12/8/1995,1651
12/1/1995,1318
11/24/1995,1578
11/17/1995,1633
11/10/1995,1538
11/3/1995,1678
10/27/1995,1571
10/20/1995,1682
10/13/1995,1677
10/6/1995,1199
09/29/1995,1677
09/22/1995,1671
09/15/1995,1423
09/8/1995,1577
09/1/1995,1561
08/25/1995,1614
08/18/1995,1457
08/11/1995,1615
08/4/1995,1400
07/28/1995,1571
07/21/1995,1591
07/14/1995,1419
07/7/1995,1412
06/30/1995,1535
06/23/1995,1307
06/16/1995,1544
