PASSENGERS,FREIGHT,MAIL,CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_FIPS,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_FIPS,YEAR,QUARTER,MONTH
3,0,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,GEG,"Spokane, WA",WA,53,53063,2020,1,3
3,0,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,SNA,"Santa Ana, CA",CA,6,6059,2020,1,3
3,0,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,DTW,"Detroit, MI",MI,26,26163,2020,1,1
3,0,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,ICT,"Wichita, KS",KS,20,20173,2020,1,1
3,0,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,GEG,"Spokane, WA",WA,53,53063,2020,2,4
3,59,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,SEA,"Seattle, WA",WA,53,53033,2020,2,4
3,0,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,MKE,"Milwaukee, WI",WI,55,55079,2020,2,4
4,0,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,RNO,"Reno, NV",NV,32,32031,2020,2,4
4,0,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,BOI,"Boise, ID",ID,16,16001,2020,1,3
4,0,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,FLL,"Fort Lauderdale, FL",FL,12,12011,2020,1,1
5,0,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,CMH,"Columbus, OH",OH,39,39049,2020,1,3
5,0,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,RNO,"Reno, NV",NV,32,32031,2020,1,1
5,0,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,GEG,"Spokane, WA",WA,53,53063,2020,1,2
5,0,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,OKC,"Oklahoma City, OK",OK,40,40109,2020,1,2
6,50,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,PDX,"Portland, OR",OR,41,23005,2020,1,2
